Parent Name,Parent Id,Identifier,Company Name,Type,Relationship,Country/Region,Industry,Confidence Score (%),Last Update Date,Days Since Last Update,Freshness,Snippet Count,Revenue (USD),EQ Score,Implied Rating,fetch_time
DS Smith PLC,4295894074,4295903247,Procter & Gamble Co,Public,Customer,United States of America,Personal Products,0.587783928,2015-06-25,2416,1,3,76118000000.0,89.0,BBB+,2022-02-04 11:10:00
Seoul Semiconductor Co Ltd,4295882677,4295905573,Apple Inc,Public,Customer,United States of America,Phones & Handheld Devices,1.0,2018-02-01,1465,2,1,365817000000.0,80.0,A,2022-02-05 19:47:00
Brightstar Corp,4296334059,4295877094,SoftBank Group Corp,Public,Customer,Japan,Wireless Telecommunications Services,0.630818671092518,2014-01-16,2942,1,4,53099969092.1437,7.0,BB-,2022-02-05 20:25:00
Brightstar Corp,4296334059,4295907020,Logility Inc,Private,Supplier,United States of America,IT Services & Consulting,0.290066,2018-05-15,1362,2,2,41603000.0,,,2022-02-05 20:25:00
Navistar International Corp,4295904608,4295903829,Cummins Inc,Public,Supplier,United States of America,"Auto, Truck & Motorcycle Parts",0.999955517992944,2021-05-20,259,5,23,19811000000.0,90.0,BBB,2022-02-03 14:41:00
Navistar International Corp,4295904608,4295869244,Volkswagen AG,Public,Customer,Germany,Auto & Truck Manufacturers,0.574423746048,2018-03-08,1428,2,3,254414100566.967,36.0,BBB+,2022-02-03 14:41:00
Navistar International Corp,4295904608,5000185472,Cummins Emission Solutions Inc,Private,Supplier,United States of America,"Auto, Truck & Motorcycle Parts",0.27653504,2012-09-06,3437,1,2,47821505.0,,,2022-02-03 14:41:00
Navistar International Corp,4295904608,4295903830,Dana Inc,Public,Supplier,United States of America,"Auto, Truck & Motorcycle Parts",0.554314955088,2018-10-29,1193,3,3,7106000000.0,23.0,B,2022-02-03 14:41:00
Navistar International Corp,4295904608,4295906731,J B Hunt Transport Services Inc,Public,Customer,United States of America,Ground Freight & Logistics,0.2915224,2020-08-25,527,4,2,12168302000.0,80.0,BBB,2022-02-03 14:41:00
Navistar International Corp,4295904608,4295890000,SinterCast AB,Public,Supplier,Sweden,"Auto, Truck & Motorcycle Parts",0.27398144,2012-02-22,3634,1,2,10405619.2268413,82.0,AA-,2022-02-03 14:41:00
Navistar International Corp,4295904608,5068663280,Traton SE,Public,Supplier,Germany,Heavy Machinery & Vehicles,0.28153528,2021-07-07,211,5,2,25774261009.3237,23.0,BB-,2022-02-03 14:41:00
Navistar International Corp,4295904608,4298546138,General Motors Co,Public,Supplier,United States of America,Auto & Truck Manufacturers,0.680675818751814,2021-03-11,329,5,5,127004000000.0,9.0,BB-,2022-02-03 14:41:00
WABCO Holdings Inc,4295899340,4295966706,FAW Jiefang Automotive Co Ltd,Private,Customer,China,Auto & Truck Manufacturers,0.559286494368,2018-09-21,1231,3,3,6733117761.11545,,,2022-02-03 18:49:00
WABCO Holdings Inc,4295899340,4295912004,Meritor Inc,Public,Customer,United States of America,"Auto, Truck & Motorcycle Parts",0.292632,2020-02-21,713,4,2,3833000000.0,80.0,B,2022-02-03 18:49:00
WABCO Holdings Inc,4295899340,4295869694,Mercedes-Benz Group AG,Public,Customer,Germany,Auto & Truck Manufacturers,0.997857148920395,2020-02-21,713,4,13,176138194955.17,43.0,BBB+,2022-02-03 18:49:00
ViaSat Inc,4295908314,4296713193,Arianespace SASU,Private,Supplier,France,Government Administration Activities,0.67629712551168,2020-03-30,675,4,5,1858359991.66897,,,2022-02-03 19:12:00
ViaSat Inc,4295908314,5001223442,SS/L Holdings Inc,Private,Supplier,United States of America,Business Support Services,0.97457000223296,2014-11-12,2640,1,8,1008684000.0,,,2022-02-03 19:12:00
