date,time,size,name
2016-08-26,15:05:02,1073755363,crawl-data/CC-NEWS/2016/08/CC-NEWS-20160826124520-00000.warc.gz
2016-08-27,15:05:03,1012901314,crawl-data/CC-NEWS/2016/08/CC-NEWS-20160826132734-00001.warc.gz
2016-08-28,15:05:03,60859570,crawl-data/CC-NEWS/2016/08/CC-NEWS-20160827132735-00002.warc.gz
2016-08-29,15:05:02,653855705,crawl-data/CC-NEWS/2016/08/CC-NEWS-20160827145159-00003.warc.gz
2016-08-30,15:05:03,872226620,crawl-data/CC-NEWS/2016/08/CC-NEWS-20160828145159-00004.warc.gz
2016-08-31,15:05:03,995253471,crawl-data/CC-NEWS/2016/08/CC-NEWS-20160829145200-00005.warc.gz
2016-09-01,15:05:02,1048651653,crawl-data/CC-NEWS/2016/08/CC-NEWS-20160830145200-00006.warc.gz
2016-09-02,15:05:02,1039262233,crawl-data/CC-NEWS/2016/08/CC-NEWS-20160831145200-00007.warc.gz
2017-09-25,11:26:34,999180677,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160901145200-00008.warc.gz
2017-09-25,11:26:57,781000573,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160902145200-00009.warc.gz
2017-09-25,11:27:14,565500480,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160903145200-00010.warc.gz
2017-09-25,11:27:28,767819244,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160904145200-00011.warc.gz
2017-09-25,11:27:44,889077015,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160905145200-00012.warc.gz
2017-09-25,11:28:05,973409674,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160906145201-00013.warc.gz
2017-09-25,11:28:26,974922990,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160907145201-00014.warc.gz
2017-09-25,11:28:53,1012808585,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160908145201-00015.warc.gz
2017-09-25,11:29:15,763222668,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160909145202-00016.warc.gz
2017-09-25,11:29:34,608439394,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160910145202-00017.warc.gz
2017-09-25,11:29:47,751377698,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160911145202-00018.warc.gz
2017-09-25,11:30:13,934425608,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160912145202-00019.warc.gz
2017-09-25,11:30:55,973672999,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160913145202-00020.warc.gz
2017-09-25,11:31:17,983273747,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160914145203-00021.warc.gz
2017-09-25,11:31:38,1073749560,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160915145203-00022.warc.gz
2017-09-25,11:32:07,1073755966,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160916133845-00023.warc.gz
2017-09-25,11:32:35,1073789360,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160916172950-00024.warc.gz
2017-09-25,11:33:02,970273953,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160917165637-00025.warc.gz
2017-09-25,11:33:50,1073793640,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160918165637-00026.warc.gz
2017-09-25,11:34:26,1073755152,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160919125823-00027.warc.gz
2017-09-25,11:34:54,1073764846,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160920065328-00028.warc.gz
2017-09-25,11:35:23,1062977537,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160920205428-00029.warc.gz
2017-09-25,11:35:52,1073782282,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160921141810-00000.warc.gz
2017-09-25,11:36:20,1073742763,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160926211809-00000.warc.gz
2017-09-25,11:36:48,1030170196,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160927074341-00000.warc.gz
2017-09-25,11:37:16,43598787,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160928074341-00001.warc.gz
2017-09-25,11:37:18,958045652,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160928075927-00002.warc.gz
2017-09-25,11:37:46,115721849,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160929075927-00003.warc.gz
2017-09-25,11:38:00,959611752,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160929101044-00004.warc.gz
2017-09-25,11:38:25,114141481,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160930101058-00005.warc.gz
2017-09-25,11:38:33,784668188,crawl-data/CC-NEWS/2016/09/CC-NEWS-20160930122238-00006.warc.gz
2017-09-25,12:09:01,289093282,crawl-data/CC-NEWS/2016/10/CC-NEWS-20161001122244-00007.warc.gz
2017-09-25,12:09:10,568052360,crawl-data/CC-NEWS/2016/10/CC-NEWS-20161001224340-00008.warc.gz
2017-09-25,12:09:31,505711381,crawl-data/CC-NEWS/2016/10/CC-NEWS-20161002224346-00009.warc.gz
2017-09-25,12:09:46,816307471,crawl-data/CC-NEWS/2016/10/CC-NEWS-20161003130443-00010.warc.gz
