entity1	entity2	left	middle	right	article
Apple	Corning	"
"	 shares lost {AAPL.O;-PCTCHNG:2} percent as worries over softening demand for high-end smartphones were underscored as 	 reported a drop in screen glass sales for the first time in at least four quarters.	620d7165c02377e1232d8ef4
Amazon	Netflix	"
Other technology stocks in the FAANG group, Facebook, "	 and 	, also weighed on the Nasdaq.	620d7165c02377e1232d8ef4
Corning	Apple		" (GLW.N) on Tuesday reported a drop in sales at its screen glass unit for the first time in at least four quarters, and said it expects the weakness to spill into the current quarter, adding to growing market jitters about demand for high-end smartphones.
Shares of the specialty glass maker, whose Gorilla glass became the screen of choice for many smartphones including "	's (AAPL.O) iPhone and Samsung's (005930.KS) Galaxy, were down about 3 percent in morning trade.	620d716fc02377e1232d8f11
Apple	Corning	"
At least two other "	" suppliers - contract chipmaker Taiwan (2330.TW) and chipmaker AMS (AMS.S) - have pointed to soft demand from smartphone customers in the past week. Analysts have attributed the softness to weaker-than-anticipated demand for the California company's iPhone X.
Global sales of smartphones to end users was nearly 408 million units in the fourth quarter of 2017, a 5.6 percent year-over-year decline for the first time ever, Gartner Research said in February.
"	" said net sales in its specialty materials business fell 7 percent to $278 million in the first quarter, missing analysts' estimates of $293 million, according to Thomson Reuters I/B/E/S.
The company expects a similar year-over-year decline in the unit in the second quarter, Chief Financial Officer R. Tony Tripeny said in a post-earnings conference call."	620d716fc02377e1232d8f11
Apple	Taiwan	"
At least two other "	 suppliers - contract chipmaker 	 (2330.TW) and chipmaker AMS (AMS.S) - have pointed to soft demand from smartphone customers in the past week.	620d716fc02377e1232d8f11
Apple	Taiwan	"REUTERS/Elijah Nouvelage/File Photo
South Korean chipmaker SK Hynix said following its quarterly report that it expected smartphone demand to stagnate, echoing a similar warning last week from "	 supplier 	.	620d7184c02377e1232d8f4f
Taiwan	Apple	"REUTERS/Elijah Nouvelage/File Photo
South Korean chipmaker SK Hynix said following its quarterly report that it expected smartphone demand to stagnate, echoing a similar warning last week from Apple supplier "	".
Concerns ahead of "	's quarterly report next Tuesday have shaved 9 percent from its stock price in the past five sessions, erasing $80 billion of its stock market value.	620d7184c02377e1232d8f4f
Apple	SK Hynix	An iPhone X is seen on a large video screen in the 	" visitor centre in Cupertino, California, U.S., November 17, 2017. REUTERS/Elijah Nouvelage/File Photo
South Korean chipmaker "	 said following its quarterly report that it expected smartphone demand to stagnate, echoing a similar warning last week from Apple supplier Taiwan.	620d7184c02377e1232d8f4f
SK Hynix	Apple	"REUTERS/Elijah Nouvelage/File Photo
South Korean chipmaker "	 said following its quarterly report that it expected smartphone demand to stagnate, echoing a similar warning last week from 	 supplier Taiwan.	620d7184c02377e1232d8f4f
Apple	SK Hynix	"
Concerns ahead of "	"'s quarterly report next Tuesday have shaved 9 percent from its stock price in the past five sessions, erasing $80 billion of its stock market value.
“The bar may not have been set low enough,” Wedbush senior trader Joel Kulina said of Wall Street's declining expectations for iPhone shipments. “There's still no visibility, and that's going to keep a lot of money on the sidelines.”
"	 sells memory chips across the smartphone industry, as well as to companies making laptops, servers and other kinds of computers.	620d7184c02377e1232d8f4f
SK Hynix	Apple	"
"	" sells memory chips across the smartphone industry, as well as to companies making laptops, servers and other kinds of computers.
Also rattling "	 investors, European chipmaker AMS on Monday warned of a downturn owing to weak orders from one of its main customers.	620d7184c02377e1232d8f4f
LG Display	Apple	"
“The market situation has changed more rapidly than expected,” Don Kim, CFO of "	", said in a statement.
“We will be focusing on efficient and flexible management in capital expenditure and maintaining operational performance including intensified cost reduction.”
The "	 supplier posted an operating loss of 98 billion won ($91 million) for January-March.	620d71cfc02377e1232d9017
Kohls	Amazon	"
Among those that could pick up toy market share: big-box retailers Walmart Inc and Target Corp; chains such as JC Penney Co Inc, "	" and Bed Bath & Beyond; drugstores like CVS Health Corp and Rite Aid Corp; and discount outlets like Dollar General Corp or TJ Maxx.
“We'll work really hard with folks like Walmart and Target to see if they can take up volume by year-end,” said Jay Foreman, chief executive of Basic Fun!, which sells Cake Pop Cuties and Poopeez as well as classics like Lite-Brite.
Foreman expects a 10 percent revenue hit from the loss of Toys ‘R' Us.
He is also working with "	, which will become its second- or third-biggest account this year versus ninth in 2015, but said Amazon does not give minimum orders.	620d71d1c02377e1232d901d
Airbus	Lockheed Martin	"
Related Coverage United Tech expects to meet rising "	" production schedule
The company said sales in its Pratt & Whitney unit, which also makes the F135 engine for "	 (LMT.N) F-35 fighters, rose 15.2 percent to $4.33 billion in the first quarter ended March 31, while margins were flat at 9.5 percent.	620d71dcc02377e1232d9035
Apple	LG Display	"
The "	" supplier posted an operating loss of 98 billion won ($91 million) for January-March. That compares with a 1 trillion won profit in the same period a year ago and an average forecast of a 58.1 billion won loss drawn from 14 analysts polled by Thomson Reuters I/B/E/S.
Revenue fell 19.6 percent to 5.7 trillion won.
"	 shares, which have been trading near three-month lows so far in April, were up 0.2 percent by 0303 GMT compared with a 1 percent fall in the wider market.	620d71fdc02377e1232d908c
LG Display	Apple	"
"	" said that while it expected 2018 capital expenditures to be slightly lower than previous guidance of 9 trillion won, investments would partly depend on the strength of the smartphone market.
Flagging the possibility of deeper cuts in capex, it said would take a “flexible” approach to investing in smaller OLED panels for mobile devices due to “increased uncertainty”.
Less-than-expected sales of "	's OLED-screened iPhone X led rival Samsung Electronics' display business, which has near 100 percent market share in mobile OLED, to lower the utilization of its production lines in the first quarter, according to research provider WitsView.	620d71fdc02377e1232d908c
Apple	Corning	"
"	 (AAPL.O) shares lost 1.39 percent as worries over softening demand for high-end smartphones were underscored as 	 (GLW.N) reported a drop in screen glass sales for the first time in at least four quarters.	620d720bc02377e1232d90a1
Amazon	Netflix	"
Fellow technology stocks "	 (AMZN.O) and 	 (NFLX.O) also weighed on the Nasdaq.	620d720bc02377e1232d90a1
LG Display	Apple	SEOUL, April 25 (Reuters) - South Korea's 	" reported its first quarterly operating loss in six years, hit by a sharp drop in panel prices as Chinese rivals flooded the market and sluggish sales of liquid crystal displays for TVs.
The "	 supplier posted an operating loss of 98 billion won ($91.1 million) for January-March.	620d7218c02377e1232d90bd
Airbus	Lockheed Martin	"
Related Coverage United Tech expects to meet rising "	" production schedule
The company raised its 2018 adjusted earnings per share forecast to a range of $6.95-$7.15 from $6.85-$7.10, and full-year sales to a range of $63 billion to $64.5 billion from $62.5 billion to $64 billion.
United Tech said the decision to increase its earnings and sales forecasts this early in the year is unusual and reflected its confidence in its performance.
“We never raise the outlook in the first quarter,” Johri said.
The company said sales in its Pratt & Whitney unit, which also makes the engine for "	 (LMT.N) F-35 combat jets, rose 15.2 percent.	620d724fc02377e1232d9146
Apple	LG Display	"
The "	" supplier posted an operating loss of 98 billion won ($91 million) for January-March. That compares with a 1 trillion won profit in the same period a year ago and an average forecast of a 58.1 billion won loss drawn from 14 analysts polled by Thomson Reuters I/B/E/S.
Revenue fell 19.6 percent to 5.7 trillion won.
"	 shares, which have been trading near three-month lows so far in April, had jumped about 1 percent by 0100 GMT compared with a 0.6 percent fall in the wider market.	620d725bc02377e1232d9166
Apple	Corning	"
"	 shares lost 1.39 percent as worries over softening demand for high-end smartphones were underscored as 	 reported a drop in screen glass sales for the first time in at least four quarters.	620d7284c02377e1232d91c4
