name	in_articles	short_name
Apple Inc	1350	Apple
Boeing Co	797	Boeing
Amazon.com Inc	777	Amazon
Alphabet Inc	668	Alphabet
Microsoft Corp	661	Microsoft
General Motors Co	611	General
Ford Motor Co	543	Ford
Tesla Inc	459	Tesla
AT&T Inc	348	AT&T
Chevron Corp	341	Chevron
Intel Corp	321	Intel
Toyota Motor Corp	295	Toyota
Exxon Mobil Corp	272	Exxon Mobil
Mobil Corp	272	Mobil
Qualcomm Inc	229	Qualcomm
Federal Aviation Administration	226	Federal
Netflix Inc	221	Netflix
Volkswagen AG	218	Volkswagen
Samsung Electronics Co Ltd	207	Samsung
American Airlines Group Inc	192	American
Sprint Corp	189	Sprint
Lockheed Martin Corp	188	Lockheed
Walmart Inc	177	Walmart
Comcast Corp	172	Comcast
Verizon Communications Inc	171	Verizon
T-Mobile US Inc	165	T-Mobile
Huawei Technologies Co Ltd	148	Huawei
Advanced Micro Devices Inc	145	Advanced Micro Devices
General Electric Co	144	GE
Southwest Airlines Co	142	Southwest
SoftBank Group Corp	124	SoftBank
Delta Air Lines Inc	113	Delta Air Lines
FedEx Corp	112	FedEx
Micron Technology Inc	110	Micron
Uber Technologies Inc	106	Uber
United Airlines Holdings Inc	105	United
United Parcel Service Inc	105	United Parcel
Airbus SE	102	Airbus
Nissan Motor Co Ltd	95	Nissan
Cisco Systems Inc	91	Cisco
Caterpillar Inc	79	Caterpillar
Time Warner Inc	78	Time Warner
Toshiba Corp	76	Toshiba
Raytheon Co	76	Raytheon
Sharp Corp	75	Sharp
International Business Machines Corp	71	IBM
Anadarko Petroleum Corp	71	Anadarko
Oracle Corp	69	Oracle
Panasonic Corp	68	Panasonic
Renault SA	66	Renault
Honda Motor Co Ltd	63	Honda
Mitsubishi Motors Corp	60	Mitsubishi
Taiwan Semiconductor Manufacturing Co Ltd	56	Taiwan
Honeywell International Inc	56	Honeywell
Hyundai Motor Co	53	Hyundai
Suzuki Motor Corp	53	Suzuki
Bombardier Inc	50	Bombardier
LG Chem Ltd	50	LG Chem
Northrop Grumman Corp	50	Northrop Grumman
eBay Inc	47	eBay
Qantas Airways Ltd	43	Qantas
Alibaba Group Holding Ltd	41	Alibaba
3M Co	39	3M
Air Canada	37	Air Canada
Hon Hai Precision Industry Co Ltd	35	Hon Hai
Qorvo Inc	35	Qorvo
SK Hynix Inc	35	SK Hynix
Coca-Cola Co	31	Coca-Cola
Spirit AeroSystems Holdings Inc	31	Spirit
ViacomCBS Inc	29	ViacomCBS
Safran SA	27	Safran
LG Electronics Inc	27	LG
Time Warner Cable Inc	27	Time Warner Cable
Lumentum Holdings Inc	25	Lumentum
ZTE Corp	25	ZTE
Japan Display Inc	25	Japan Display
Western Digital Corp	24	Western
Meta Platforms Inc	24	Meta
Halliburton Co	24	Halliburton
Costco Wholesale Corp	23	Costco Wholesale
Deutsche Telekom AG	23	Deutsche Telekom
ANA Holdings Inc	23	ANA
Maruti Suzuki India Ltd	23	Maruti Suzuki India
LG Display Co Ltd	22	LG Display
Renesas Electronics Corp	22	Renesas
Siemens AG	22	Siemens
Mastercard Inc	22	Mastercard
Home Depot Inc	22	Home Depot
Phillips 66	22	Phillips 66
Ally Financial Inc	22	Ally Financial
Nike Inc	21	Nike
Samsung Group	21	Samsung
Xiaomi Corp	21	Xiaomi
Skyworks Solutions Inc	20	Skyworks Solutions
Valero Energy Corp	20	Valero
TikTok	20	TikTok
Navistar International Corp	20	Navistar
NXP Semiconductors NV	20	NXP Semiconductors
Singapore Airlines Ltd	20	Singapore
Schlumberger NV	20	Schlumberger
Baidu Inc	19	Baidu
Denso Corp	19	Denso
PayPal Holdings Inc	19	PayPal
Fitbit Inc	19	Fitbit
HP Inc	18	HP
NetApp Inc	17	NetApp
EMC Corp	17	EMC
Visa Inc	17	Visa
Cathay Pacific Airways Ltd	17	Cathay Pacific
Mitsubishi Corp	17	Mitsubishi
Nokia Oyj	17	Nokia
SK Innovation Co Ltd	17	SK Innovation
Peugeot SA	16	Peugeot
HTC Corp	16	HTC
Baker Hughes Co	16	Baker Hughes
Bharti Airtel Ltd	15	Bharti Airtel
Sempra Energy	15	Sempra
Marubeni Corp	15	Marubeni
Wistron Corp	15	Wistron
Stellantis NV	15	Stellantis
Google LLC	15	Google
BP PLC	15	BP
Foxconn Technology Co Ltd	14	Foxconn
Tata Motors Ltd	14	Tata
Activision Blizzard Inc	14	Activision Blizzard
VMware Inc	14	VMware
China Mobile Ltd	14	China
Dell Technologies Inc	14	Dell
PepsiCo Inc	14	PepsiCo
Mitsubishi Heavy Industries Ltd	14	Mitsubishi Heavy
GameStop Corp	13	GameStop
LinkedIn Corp	13	LinkedIn
Xilinx Inc	13	Xilinx
Textron Inc	13	Textron
Semiconductor Manufacturing International Corp	13	Semiconductor Manufacturing
United States Postal Service	13	United States Postal
Equinor ASA	13	Equinor
Pegatron Corp	12	Pegatron
Snap Inc	12	Snap
CAE Inc	11	CAE
Procter & Gamble Co	11	Procter & Gamble
Lear Corp	11	Lear
Dell Inc	11	Dell
Raytheon Technologies Corp	11	Raytheon
TDK Corp	11	TDK
Shell PLC	11	Shell
Petroliam Nasional Bhd	10	Petroliam Nasional
Texas Instruments Inc	10	Texas Instruments
Samsung SDI Co Ltd	10	Samsung SDI
Rockwell Collins Inc	10	Rockwell Collins
Hewlett Packard Enterprise Co	10	Hewlett Packard Enterprise
A123 Systems Inc	10	A123
Air Lease Corp	10	Air Lease
Charter Communications Inc	10	Charter
ASML Holding NV	10	ASML
Conagra Brands Inc	10	Conagra
Magna International Inc	10	Magna
Saab AB	10	Saab
Contemporary Amperex Technology Co Ltd	10	Contemporary Amperex
Cheniere Energy Inc	10	Cheniere
Vodafone Idea Ltd	10	Vodafone Idea
Cummins Inc	10	Cummins
Aerojet Rocketdyne Holdings Inc	10	Aerojet Rocketdyne
Air New Zealand Ltd	10	Air New Zealand
Corning Inc	10	Corning
Finisar Corp	9	Finisar
Audi AG	9	Audi
Korean Air Lines Co Ltd	9	Korean Air Lines
BlackBerry Ltd	9	BlackBerry
Broadcom Inc	9	Broadcom
Mitsubishi Aircraft Corp	9	Mitsubishi
Lyft Inc	9	Lyft
Mazda Motor Corp	9	Mazda
Sumitomo Corp	8	Sumitomo
Arista Networks Inc	8	Arista
Dana Inc	8	Dana
Transocean Ltd	8	Transocean
Lam Research Corp	8	Lam Research
Adobe Inc	8	Adobe
Air France KLM SA	8	Air France KLM
Overstock.com Inc	8	Overstock.com
Rolls-Royce Holdings PLC	8	Rolls-Royce
Mitsubishi Electric Corp	8	Mitsubishi
NEC Corp	8	NEC
SAP SE	8	SAP
Slack Technologies Inc	7	Slack
China Southern Airlines Co Ltd	7	China Southern
Robert Bosch GmbH	7	Robert Bosch GmbH
Infosys Ltd	7	Infosys
Cablevision Systems Corp	7	Cablevision
Nippon Steel Corp	7	Nippon
Noble Energy Inc	7	Noble
BHP Group Ltd	7	BHP
Arm Ltd	7	Arm
China Telecom Corp Ltd	7	China Telecom
Sapura Energy Bhd	7	Sapura
VF Corp	7	VF
MediaTek Inc	7	MediaTek
Air China Ltd	7	Air China
Japan Airlines Co Ltd	7	Japan
DISH Network Corp	7	DISH Network
Deere & Co	7	Deere &
STMicroelectronics NV	7	STMicroelectronics
Cirrus Logic Inc	7	Cirrus Logic
Sikorsky Aircraft Corp	6	Sikorsky
LG Innotek Co Ltd	6	LG Innotek
International Paper Co	6	International Paper
Roku Inc	6	Roku
Hyundai Mobis Co Ltd	6	Hyundai Mobis
Johnson Controls Inc	6	Johnson Controls
KDDI Corp	6	KDDI
Linamar Corp	6	Linamar
PetroChina Co Ltd	6	PetroChina
Spirit AeroSystems Inc	6	Spirit
Tencent Holdings Ltd	6	Tencent
Visteon Corp	6	Visteon
Whole Foods Market Inc	6	Whole Foods Market
Spirit Airlines Inc	6	Spirit
Emirates Airline	6	Emirates Airline
Electronic Arts Inc	6	Electronic Arts
Walgreens Boots Alliance Inc	6	Walgreens Boots Alliance
Hitachi Ltd	6	Hitachi
Coty Inc	6	Coty
Best Buy Co Inc	6	Best Buy
AAC Technologies Holdings Inc	6	AAC
BAE Systems PLC	5	BAE
Advantest Corp	5	Advantest
JFE Holdings Inc	5	JFE
Acer Inc	5	Acer
Fortescue Metals Group Ltd	5	Fortescue Metals
Dongfeng Motor Group Co Ltd	5	Dongfeng
DoorDash Inc	5	DoorDash
News Corp	5	News Corp
Red Hat Inc	5	Red Hat
Kohls Corp	5	Kohls
Dassault Aviation SA	5	Dassault
Shopify Inc	5	Shopify
Match Group Inc	5	Match
Inphi Corp	5	Inphi
BYD Co Ltd	5	BYD
China Eastern Airlines Corp Ltd	5	China Eastern
Mitsui & Co Ltd	5	Mitsui &
China Petroleum & Chemical Corp	5	China
II-VI Inc	5	II-VI
Epic Games Inc	5	Epic Games
Traton SE	5	Traton
Vir Biotechnology Inc	4	Vir Biotechnology
