entity1,entity2,rel,Confidence Score (%)
4G Enterprises Inc,Qualcomm Inc,Supplier,0.28930448
Qualcomm Inc,4G Enterprises Inc,Supplier,0.27020288
8x8 Inc,IWG Plc,Supplier,0.27360088
IWG Plc,8x8 Inc,Supplier,0.58605024
ADDvantage Technologies Group Inc,Cisco Systems Inc (Pre-Merger),Supplier,0.659963190892347
Cisco Systems Inc (Pre-Merger),ADDvantage Technologies Group Inc,Supplier,0.52504473936
AES Corp,Google LLC,Supplier,0.682238351721812
Google LLC,AES Corp,Supplier,0.681873729809572
AMC Networks Inc,Cablevision Systems Corp,Supplier,0.537127826304
Cablevision Systems Corp,AMC Networks Inc,Supplier,0.626072706315264
AP Moeller - Maersk A/S,BP PLC,Supplier,0.27541696
BP PLC,AP Moeller - Maersk A/S,Supplier,0.295456
ASML Holding NV,Intel Corp,Supplier,0.555501234
Intel Corp,ASML Holding NV,Supplier,0.999999996370087
AT&T Inc,Alestra S de RL de CV,Supplier,0.623286778171699
Alestra S de RL de CV,AT&T Inc,Supplier,0.56686389888
AT&T Inc,Amazon Web Services Inc,Supplier,0.30544128
Amazon Web Services Inc,AT&T Inc,Supplier,0.55843493904
AT&T Inc,Amazon.com Inc,Supplier,0.633196899589786
Amazon.com Inc,AT&T Inc,Supplier,0.625985485900493
AT&T Inc,Amdocs Ltd,Supplier,0.999464465001372
Amdocs Ltd,AT&T Inc,Supplier,0.99775974131462
AT&T Inc,Apple Inc,Supplier,0.671069040423135
Apple Inc,AT&T Inc,Supplier,0.675906888011191
AT&T Inc,Comcast Corp,Supplier,0.986714704531468
Comcast Corp,AT&T Inc,Supplier,0.995974187218358
AT&T Inc,Comtech Telecommunications Corp,Supplier,0.31964
Comtech Telecommunications Corp,AT&T Inc,Supplier,0.29430464
AT&T Inc,DIRECTV Holdings LLC,Supplier,0.68249362419964
DIRECTV Holdings LLC,AT&T Inc,Supplier,0.973252244159423
AT&T Inc,DISH Network Corp,Supplier,0.6241546790976
DISH Network Corp,AT&T Inc,Supplier,0.62811206168448
AT&T Inc,DXC Technology Co,Supplier,0.29943752
DXC Technology Co,AT&T Inc,Supplier,0.5636760636
AT&T Inc,Deutsche Telekom AG,Supplier,0.663164755011962
Deutsche Telekom AG,AT&T Inc,Supplier,0.28854104
AT&T Inc,Ford Motor Co,Supplier,0.527154944112
Ford Motor Co,AT&T Inc,Supplier,0.628190072403456
AT&T Inc,GameStop Corp,Supplier,0.698837758151924
GameStop Corp,AT&T Inc,Supplier,0.610957047277056
AT&T Inc,Google LLC,Supplier,0.969410536518823
Google LLC,AT&T Inc,Supplier,0.687350574466263
AT&T Inc,Home Box Office Inc,Supplier,0.694065605966394
Home Box Office Inc,AT&T Inc,Supplier,0.994495055005615
AT&T Inc,Huawei Technologies Co Ltd,Supplier,0.667722350865597
Huawei Technologies Co Ltd,AT&T Inc,Supplier,0.30071
AT&T Inc,International Business Machines Corp,Supplier,0.981944819452493
International Business Machines Corp,AT&T Inc,Supplier,0.974124174897833
AT&T Inc,KonaTel Inc,Supplier,0.29333888
KonaTel Inc,AT&T Inc,Supplier,0.28509096
AT&T Inc,Level 3 Parent LLC,Supplier,0.545307369312
Level 3 Parent LLC,AT&T Inc,Supplier,0.547628461824
AT&T Inc,Omnicom Group Inc,Supplier,0.580322064
Omnicom Group Inc,AT&T Inc,Supplier,0.56329127424
AT&T Inc,Orange SA,Supplier,0.28398008
Orange SA,AT&T Inc,Supplier,0.3050888
AT&T Inc,Polycom Inc,Supplier,0.3032288
Polycom Inc,AT&T Inc,Supplier,0.2790132
AT&T Inc,RingCentral Inc,Supplier,0.985957189866956
RingCentral Inc,AT&T Inc,Supplier,0.621242111010816
AT&T Inc,SITO Mobile Ltd,Supplier,0.702477393983112
SITO Mobile Ltd,AT&T Inc,Supplier,0.623871930468614
AT&T Inc,Samsung Electronics America Inc,Supplier,0.64148123107248
Samsung Electronics America Inc,AT&T Inc,Supplier,0.2760416
AT&T Inc,Sprint Corp,Supplier,0.623168316797952
Sprint Corp,AT&T Inc,Supplier,0.539036166144
AT&T Inc,Synacor Inc,Supplier,0.989821418654434
Synacor Inc,AT&T Inc,Supplier,0.71766332761653
AT&T Inc,T-Mobile US Inc,Supplier,0.716096854984606
T-Mobile US Inc,AT&T Inc,Supplier,0.616210792862938
AT&T Inc,Telenav Inc,Supplier,0.996762443770502
Telenav Inc,AT&T Inc,Supplier,0.995724230931756
AT&T Inc,Teletouch Communications Inc,Supplier,0.99832126895041
Teletouch Communications Inc,AT&T Inc,Supplier,0.990886673652648
AT&T Inc,Telstra Corporation Ltd,Supplier,0.28822544
Telstra Corporation Ltd,AT&T Inc,Supplier,0.5625275016
AT&T Inc,Time Warner Cable Inc,Supplier,0.30956408
Time Warner Cable Inc,AT&T Inc,Supplier,0.29800016
AT&T Inc,Time Warner Inc,Supplier,0.995491884832865
Time Warner Inc,AT&T Inc,Supplier,0.611613216549062
AT&T Inc,Verizon Communications Inc,Supplier,0.995248002971909
Verizon Communications Inc,AT&T Inc,Supplier,0.988755275593653
AT&T Inc,Vodafone Group PLC,Supplier,0.60415186059264
Vodafone Group PLC,AT&T Inc,Supplier,0.3159008
AT&T Inc,Vonage Holdings Corp,Supplier,0.644204076828672
Vonage Holdings Corp,AT&T Inc,Supplier,0.28934384
ATMD (Hong Kong) Ltd,Samsung Electronics Co Ltd,Supplier,0.26566144
Samsung Electronics Co Ltd,ATMD (Hong Kong) Ltd,Supplier,0.30155288
Abb Ltd,Equinor ASA,Supplier,0.29847776
Equinor ASA,Abb Ltd,Supplier,0.29416
Abu Dhabi National Oil Co,BP PLC,Supplier,0.555553398
BP PLC,Abu Dhabi National Oil Co,Supplier,0.3126536
Abu Dhabi National Oil Co,Eni SpA,Supplier,0.721301416196392
Eni SpA,Abu Dhabi National Oil Co,Supplier,0.529185024
Abu Dhabi National Oil Co,Saudi Arabian Oil Co,Supplier,0.559029655296
Saudi Arabian Oil Co,Abu Dhabi National Oil Co,Supplier,0.560235620496
Abu Dhabi National Oil Co,Shell PLC,Supplier,0.640883661243456
Shell PLC,Abu Dhabi National Oil Co,Supplier,0.674738221305056
Acacia Communications Inc,Cisco Systems Inc (Pre-Merger),Supplier,0.2942784
Cisco Systems Inc (Pre-Merger),Acacia Communications Inc,Supplier,0.644538187488
Accenture PLC,Google LLC,Supplier,0.568610174064
Google LLC,Accenture PLC,Supplier,0.622766387063597
Accenture PLC,Microsoft Corp,Supplier,0.722248610497993
Microsoft Corp,Accenture PLC,Supplier,0.702689000420067
Accenture PLC,SAP SE,Supplier,0.990981716365056
SAP SE,Accenture PLC,Supplier,0.997842386972016
Accenture PLC,Salesforce.Com Inc,Supplier,0.970533601703258
Salesforce.Com Inc,Accenture PLC,Supplier,0.66144584942952
Acer Inc,Microsoft Corp,Supplier,0.55842339792
Microsoft Corp,Acer Inc,Supplier,0.55657991856
Acura Pharmaceuticals Inc,Honda Motor Co Ltd,Supplier,0.30412904
Honda Motor Co Ltd,Acura Pharmaceuticals Inc,Supplier,0.557692032
Adobe Inc,Microsoft Corp,Supplier,0.700281891738885
Microsoft Corp,Adobe Inc,Supplier,0.697304498792205
Advanced Micro Devices Inc,Globalfoundries Inc,Supplier,0.999992055544756
Globalfoundries Inc,Advanced Micro Devices Inc,Supplier,0.999603916724649
Advanced Micro Devices Inc,Hewlett Packard Enterprise Co,Supplier,0.622957321484083
Hewlett Packard Enterprise Co,Advanced Micro Devices Inc,Supplier,0.668013621633662
Advanced Micro Devices Inc,Lenovo Group Ltd,Supplier,0.27878648
Lenovo Group Ltd,Advanced Micro Devices Inc,Supplier,0.970429552423883
Advanced Micro Devices Inc,NVIDIA Corp,Supplier,0.621344161928294
NVIDIA Corp,Advanced Micro Devices Inc,Supplier,0.658034533794691
Advanced Micro Devices Inc,Samsung Electronics Co Ltd,Supplier,0.672651725839314
