	text_with_marker	text	id
123	Shares in Juniper, which counts {AT&T} , Verizon Communications and Japan's NTT DoCoMo among its customers, plunged more than 20 percent after it warned of weak third-quarter results and cuts in enterprise and public sector spending in the near term. [ID:nN1E76P240] Neal Oristano, who had headed Juniper's Americas service-provider sales for the past 7 years, becomes [Cisco]'s global service-provider sales chief.	Shares in Juniper, which counts AT&T , Verizon Communications and Japan's NTT DoCoMo among its customers, plunged more than 20 percent after it warned of weak third-quarter results and cuts in enterprise and public sector spending in the near term. Neal Oristano, who had headed Juniper's Americas service-provider sales for the past 7 years, becomes Cisco's global service-provider sales chief.	3d7c4978ea31983acf442c34147cc97f3e6e4945b13829d6b0fab6edf5912f57_20110805195028_uk.reuters.com_AT&TInc_CiscSystInc_3|4
945	Last week, bigger rival {Akamai} lowered its full-year revenue growth target as a weakening European economy and muted Japanese spending add to a cut-throat pricing environment. [ID:nL3E7IR4T7] Shares of Tempe, Arizona-based [Limelight] were down 33 percent at $2.22 in early morning trade, making it the biggest loser on Nasdaq.	Last week, bigger rival Akamai lowered its full-year revenue growth target as a weakening European economy and muted Japanese spending add to a cut-throat pricing environment. Shares of Tempe, Arizona-based Limelight were down 33 percent at $2.22 in early morning trade, making it the biggest loser on Nasdaq.	b627081c0388c7adb1ac516aa728749408618e5a30f23151c6d8b7dadf7c1010_20110809140700_uk.reuters.com_AkamTechInc_LimeNetwInc_6|7
3261	[ID:nL3E7KK3QQ] Other perceived safe-havens in the group -- {Apple} and [IBM] -- were also up.	 Other perceived safe-havens in the group -- Apple and IBM -- were also up.	adee222a1ce4cf5c99b5585d98e2d6cb1d8d27ba1be8987f9ed38718a1db926e_20110921155210_uk.reuters.com_ApplInc_InteBusiMachCorp_16|16
4339	[ID:nTOE71E04P] China sales have been a major bright spot for [GM] and other global industry giants, including {Bayerische Motoren Werke} and Volkswagen .	 China sales have been a major bright spot for GM and other global industry giants, including Bayerische Motoren Werke and Volkswagen .	88c5c3ef7e071cb6ac390b0a1affd8fd0af5dfc0f542f6ea9c2ae0801d1742b7_20110921090800_uk.reuters.com_BayeMotoWerkAG_GeneMotoCo_17|17
4341	[ID:nTOE71E04P] China sales have been a major bright spot for GM and other global industry giants, including {Bayerische Motoren Werke} and [Volkswagen] .	 China sales have been a major bright spot for GM and other global industry giants, including Bayerische Motoren Werke and Volkswagen .	88c5c3ef7e071cb6ac390b0a1affd8fd0af5dfc0f542f6ea9c2ae0801d1742b7_20110921090800_uk.reuters.com_BayeMotoWerkAG_VolkAG_17|17
5132	Last month {Broadcom} forecast better-than-expected third-quarter revenue, citing rising attach rates for its chips in phones, tablets and a number of connected home and consumer electronic products. [ID:nN1E76O0T2] [Altera] also forecast third-quarter revenue well above estimates on continuing demand from telecom operators ramping up their networks.	Last month Broadcom forecast better-than-expected third-quarter revenue, citing rising attach rates for its chips in phones, tablets and a number of connected home and consumer electronic products. Altera also forecast third-quarter revenue well above estimates on continuing demand from telecom operators ramping up their networks.	1c11e10fe42b003aa4c3a0a22bc262cf1c3cbdf6b7fc7e8c35d761259e208a5d_20110811111326_uk.reuters.com_BroaCorp_AlteCorp_7|8
5390	That satisfied Wall Street and calmed worries that arose last week when Time Warner Cable and {Cablevision}, two rivals, posted disappointing subscriber numbers [ID:nN1E79P1HC]. [Comcast] reported third-quarter net income of $908 million, or 33 cents a share, up from $867 million, or 31 cents a share, in the period a year ago.	That satisfied Wall Street and calmed worries that arose last week when Time Warner Cable and Cablevision, two rivals, posted disappointing subscriber numbers . Comcast reported third-quarter net income of $908 million, or 33 cents a share, up from $867 million, or 31 cents a share, in the period a year ago.	42f9086eeacc89e6f1ba99d6fcef94c947ec30f3f02418c80397eef957856487_20111102162408_uk.reuters.com_CablSystCorp_ComcCorp_29|30
5412	That satisfied Wall Street and calmed worries that arose last week when [Time Warner] Cable and {Cablevision}, two rivals, posted disappointing subscriber numbers [ID:nN1E79P1HC].	That satisfied Wall Street and calmed worries that arose last week when Time Warner Cable and Cablevision, two rivals, posted disappointing subscriber numbers .	42f9086eeacc89e6f1ba99d6fcef94c947ec30f3f02418c80397eef957856487_20111102162408_uk.reuters.com_CablSystCorp_TimeWarnInc_29|29
5546	{Caterpillar} rose 1.9 percent to $89.79, while [Boeing] gained 2.2 percent to $65.99 [ID:nL4E7JU1DK].	Caterpillar rose 1.9 percent to $89.79, while Boeing gained 2.2 percent to $65.99 .	5006dd03a3ab8e8c63d7358f3dd9869ff1a846db42f607df3128156106a5547f_20110830202815_uk.reuters.com_CateInc_BoeiCo_10|10
5639	[ID:nS1E78C0GC] On Tuesday, [Emerson] reported a second consecutive sequential deceleration in industrial orders for the three months through August. [ID:nS1E78J08P] {Caterpillar} reported the fourth consecutive decline in the growth rate of machinery sales to dealers worldwide, but said on Tuesday dealer sales in North America actually increased.	 On Tuesday, Emerson reported a second consecutive sequential deceleration in industrial orders for the three months through August. Caterpillar reported the fourth consecutive decline in the growth rate of machinery sales to dealers worldwide, but said on Tuesday dealer sales in North America actually increased.	66de1d291d0e298d0c0032767e07899262c96c84d6efa7edcf42278c623e2002_20110921151855_uk.reuters.com_CateInc_EmerElecCo_12|13
