id_	start_sent	end_sent	relation	entity1_full	entity2_full	num_sentence	article	date_publish	source_domain	e1	e2	sentence_range	id	num_chars	num_tokens	Confidence Score (%)	e2_count	epair_count	companies_in_text	weak_label	prob_label	KB_label	text_with_marker	most_conf	pair	split	entity1	entity2	text
f3363375c905cf0ddfe00439b808a90f9f49ccb25a289cc7c5e16661add2c097_20160830122744_www.reuters.com_ANAHoldInc_BoeiCo	7	7	Supplier	ANA Holdings Inc	Boeing Co	1	f3363375c905cf0ddfe00439b808a90f9f49ccb25a289cc7c5e16661add2c097	2016-08-30 12:27:44	www.reuters.com	ANAHoldInc	BoeiCo	7|7	f3363375c905cf0ddfe00439b808a90f9f49ccb25a289cc7c5e16661add2c097_20160830122744_www.reuters.com_ANAHoldInc_BoeiCo_7|7	143	24	0.999993441072475	4805.0	115	2	-1	0.5	1	An All Nippon Airways' [Boeing]'s 787 Dreamliner plane, which flew from Sapporo in Northern Japan, lands at Haneda airport in Tokyo May 26, 2013.	True	ANA Holdings Inc|Boeing Co	0	ANA	Boeing	An All Nippon Airways' Boeing's 787 Dreamliner plane, which flew from Sapporo in Northern Japan, lands at Haneda airport in Tokyo May 26, 2013.
5a55909197baaf4eee1f9a9a6bd34d68e587722825559e7d614f51aba2ab8813_20170621204641_www.reuters.com_AT&TInc_OracCorp	0	0	Supplier	AT&T Inc	Oracle Corp	1	5a55909197baaf4eee1f9a9a6bd34d68e587722825559e7d614f51aba2ab8813	2017-06-21 20:46:41	www.reuters.com	AT&TInc	OracCorp	0|0	5a55909197baaf4eee1f9a9a6bd34d68e587722825559e7d614f51aba2ab8813_20170621204641_www.reuters.com_AT&TInc_OracCorp_0|0	160	25	0.535450378656	806.0	14	2	0	0.4370083563415565	1	 June 21 - [Oracle]'s quarterly profit blew past analysts' estimates as the business software maker's big push towards cloud-based products and services paid off.	True	AT&T Inc|Oracle Corp	0	AT&T	Oracle	 June 21 - Oracle's quarterly profit blew past analysts' estimates as the business software maker's big push towards cloud-based products and services paid off.
b3388ce0660f82a399e935d6c71025c7c57d21477acd0e2c1b4433c0e71fb10c_20120706161747_uk.reuters.com_AdvaMicrDeviInc_EMCCorp	17	18	NA	Advanced Micro Devices Inc	EMC Corp	2	b3388ce0660f82a399e935d6c71025c7c57d21477acd0e2c1b4433c0e71fb10c	2012-07-06 16:17:47	uk.reuters.com	AdvaMicrDeviInc	EMCCorp	17|18	b3388ce0660f82a399e935d6c71025c7c57d21477acd0e2c1b4433c0e71fb10c_20120706161747_uk.reuters.com_AdvaMicrDeviInc_EMCCorp_17|18	46	10	0.0	465.0	1	2	0	0.3032651365564934	0	, IBM. , Total System Services Inc. , and [EMC].	True	Advanced Micro Devices Inc|EMC Corp	0	AMD	EMC	, IBM. , Total System Services Inc. , and EMC.
9dab9253e2cea5262f91e2917579b4551f225ef9c92908a2cf76655d0b454578_20211221175130_www.reuters.com_AdvaMicrDeviInc_KLACorp	3	4	NA	Advanced Micro Devices Inc	KLA Corp	2	9dab9253e2cea5262f91e2917579b4551f225ef9c92908a2cf76655d0b454578	2021-12-21 17:51:30	www.reuters.com	AdvaMicrDeviInc	KLACorp	3|4	9dab9253e2cea5262f91e2917579b4551f225ef9c92908a2cf76655d0b454578_20211221175130_www.reuters.com_AdvaMicrDeviInc_KLACorp_3|4	2718	455	0.0	2.0	2	15	0	9.649584407265335e-07	0	** Micron : up 9.6% Register now for FREE unlimited access to Reuters.com Register BUZZ-JPM, Credit Suisse raises Micron's PT after chipmaker's quarterly update ** NIKE Inc : up 6.9% BUZZ-Nike soars after co beats Q2 revenue, profit estimates ** Acadia Pharmaceuticals Inc : down 19.7% BUZZ-Analysts skeptical about FDA nod for Acadia's Alzheimer's drug ** Society Pass Incorporated : down 6.9% BUZZ-Society Pass ending 2021 with meme-like rally as retail interest surges ** Aridis Pharmaceuticals Inc : up 25.2% BUZZ-Aridis Pharma soars on promising data from anti-viral drug ** Vir Biotechnology Inc : down 15.3% BUZZ-Vir Biotechnology slips as Baird lowers to 'underperform' on Omicron challenges ** Alibaba : up 6.1% BUZZ-Atlantic Equities downgrades Alibaba to 'neutral', cuts PT ** Aquestive Therapeutics Inc : down 33.5% BUZZ-Aquestive slumps on delay in U.S. review of anti-seizure drug ** Aldeyra Therapeutics Inc : down 51.0% BUZZ-Aldeyra drops on eye drug study setback, analysts see launch delay ** Penumbra Inc : up 3.2% BUZZ-Penumbra an attractive entry point, says JPM citing revenue potential ** Nikola Corporation : up 2.3% BUZZ-Nikola to pay $125 mln to settle SEC charges; shares up premarket ** Rite Aid Corporation : up 17.0% BUZZ-Rite Aid rises on upbeat core earnings forecast, store closure plan ** Embraer SA : up 16.9% BUZZ-Planemaker Embraer's U.S. shares soar as subsidiary Eve to list on NYSE ** CytomX Therapeutics Inc : down 41.5% BUZZ-CytomX drops as analysts cut PTs on mixed cancer drug data ** Fisker : up 1.8% BUZZ-Fisker up on expanding deal with tire-maker Bridgestone ** Tesla : up 0.7% BUZZ-Tesla perks up after losing all gains since Hertz EV deal ** Chevronoration : up 1.8% ** Exxon Mobiloration : up 2.2% ** Devon Energy Corporation : up 6.8% ** APA Corporation : up 5.1% ** Occidental Petroleum Corporation : up 4.8% ** Ovintiv Inc : up 2.9% ** Laredo Petroleum Inc : up 8.7% ** Baker Hughesmpany : up 3.5% ** Schlumberger N.V. : up 3.9% ** Halliburtonmpany : up 3.8% ** Patterson-UTI Energy Inc : up 9.8% BUZZ-Energy firms climb tracking crude prices even as Omicron worries linger ** Braze Inc : up 14.7% BUZZ-Braze jumps after software firm's first report since IPO ** {AMD} : up 3.0% ** Marvell : up 1.8% ** Nvidia Corporation : up 2.5% ** Qualcommorporated : up 0.4% ** Broadcom : down 0.6% ** United Microelectronics : up 3.7% ** Inteloration : up 1.7% BUZZ-Micron expects chip shortages to ease in 2022; lifts semiconductor industry ** General Mills Inc : down 4.1% BUZZ- General Mills falls on quarterly profit miss ** Nordstrom Inc : up 3.3% BUZZ-Nordstorm rises on report co consulting adviser for potential spinoff of Rack ** Pioneer Power Solutions Inc : up 16.1%	True	Advanced Micro Devices Inc|KLA Corp	0	AMD	KLA	** Micron : up 9.6% Register now for FREE unlimited access to Reuters.com Register BUZZ-JPM, Credit Suisse raises Micron's PT after chipmaker's quarterly update ** NIKE Inc : up 6.9% BUZZ-Nike soars after co beats Q2 revenue, profit estimates ** Acadia Pharmaceuticals Inc : down 19.7% BUZZ-Analysts skeptical about FDA nod for Acadia's Alzheimer's drug ** Society Pass Incorporated : down 6.9% BUZZ-Society Pass ending 2021 with meme-like rally as retail interest surges ** Aridis Pharmaceuticals Inc : up 25.2% BUZZ-Aridis Pharma soars on promising data from anti-viral drug ** Vir Biotechnology Inc : down 15.3% BUZZ-Vir Biotechnology slips as Baird lowers to 'underperform' on Omicron challenges ** Alibaba : up 6.1% BUZZ-Atlantic Equities downgrades Alibaba to 'neutral', cuts PT ** Aquestive Therapeutics Inc : down 33.5% BUZZ-Aquestive slumps on delay in U.S. review of anti-seizure drug ** Aldeyra Therapeutics Inc : down 51.0% BUZZ-Aldeyra drops on eye drug study setback, analysts see launch delay ** Penumbra Inc : up 3.2% BUZZ-Penumbra an attractive entry point, says JPM citing revenue potential ** Nikola Corporation : up 2.3% BUZZ-Nikola to pay $125 mln to settle SEC charges; shares up premarket ** Rite Aid Corporation : up 17.0% BUZZ-Rite Aid rises on upbeat core earnings forecast, store closure plan ** Embraer SA : up 16.9% BUZZ-Planemaker Embraer's U.S. shares soar as subsidiary Eve to list on NYSE ** CytomX Therapeutics Inc : down 41.5% BUZZ-CytomX drops as analysts cut PTs on mixed cancer drug data ** Fisker : up 1.8% BUZZ-Fisker up on expanding deal with tire-maker Bridgestone ** Tesla : up 0.7% BUZZ-Tesla perks up after losing all gains since Hertz EV deal ** Chevronoration : up 1.8% ** Exxon Mobiloration : up 2.2% ** Devon Energy Corporation : up 6.8% ** APA Corporation : up 5.1% ** Occidental Petroleum Corporation : up 4.8% ** Ovintiv Inc : up 2.9% ** Laredo Petroleum Inc : up 8.7% ** Baker Hughesmpany : up 3.5% ** Schlumberger N.V. : up 3.9% ** Halliburtonmpany : up 3.8% ** Patterson-UTI Energy Inc : up 9.8% BUZZ-Energy firms climb tracking crude prices even as Omicron worries linger ** Braze Inc : up 14.7% BUZZ-Braze jumps after software firm's first report since IPO ** AMD : up 3.0% ** Marvell : up 1.8% ** Nvidia Corporation : up 2.5% ** Qualcommorporated : up 0.4% ** Broadcom : down 0.6% ** United Microelectronics : up 3.7% ** Inteloration : up 1.7% BUZZ-Micron expects chip shortages to ease in 2022; lifts semiconductor industry ** General Mills Inc : down 4.1% BUZZ- General Mills falls on quarterly profit miss ** Nordstrom Inc : up 3.3% BUZZ-Nordstorm rises on report co consulting adviser for potential spinoff of Rack ** Pioneer Power Solutions Inc : up 16.1%
13bad3c2d38c9105d7528e7065a1c6126ef6bf3af5e724faa4a7fd33c61a1bb9_20200723211854_www.reuters.com_AdvaMicrDeviInc_TaiwSemiManuCoLtd	17	17	Supplier	Advanced Micro Devices Inc	Taiwan Semiconductor Manufacturing Co Ltd	1	13bad3c2d38c9105d7528e7065a1c6126ef6bf3af5e724faa4a7fd33c61a1bb9	2020-07-23 21:18:54	www.reuters.com	AdvaMicrDeviInc	TaiwSemiManuCoLtd	17|17	13bad3c2d38c9105d7528e7065a1c6126ef6bf3af5e724faa4a7fd33c61a1bb9_20200723211854_www.reuters.com_AdvaMicrDeviInc_TaiwSemiManuCoLtd_17|17	164	26	0.99999999833257	523.0	14	3	-1	0.5	1	In the PC market, longtime Intel rival Advanced Micro Devices this week announced new PC chips that analysts expect to be powered by [TSMC]'s manufacturing processes.	True	Advanced Micro Devices Inc|Taiwan Semiconductor Manufacturing Co Ltd	0	AMD	TSMC	In the PC market, longtime Intel rival Advanced Micro Devices this week announced new PC chips that analysts expect to be powered by TSMC's manufacturing processes.
7c277faeed5744abe8a524dff85e3c00fbcfdd44b635715700734f4dcb370539_20170810150344_uk.reuters.com_AirLeasCorp_BoeiCo	1	1	Supplier	Air Lease Corp	Boeing Co	1	7c277faeed5744abe8a524dff85e3c00fbcfdd44b635715700734f4dcb370539	2017-08-10 15:03:44	uk.reuters.com	AirLeasCorp	BoeiCo	1|1	7c277faeed5744abe8a524dff85e3c00fbcfdd44b635715700734f4dcb370539_20170810150344_uk.reuters.com_AirLeasCorp_BoeiCo_1|1	99	17	0.999917441480494	4805.0	92	2	1	0.4800305550516864	1	[Boeing] reports 14 new orders for the week through July 31‍​ Source text - Further company coverage:	True	Air Lease Corp|Boeing Co	2	Air Lease	Boeing	Boeing reports 14 new orders for the week through July 31‍​ Source text - Further company coverage:
4a3401b10b66663a92bf2cf5d7194ba46d5039f05d313ac3d4cef46f4d62decd_20181026160000_www.reuters.com_AkamTechInc_GeneMotoCo	1	2	NA	Akamai Technologies Inc	General Motors Co	2	4a3401b10b66663a92bf2cf5d7194ba46d5039f05d313ac3d4cef46f4d62decd	2018-10-26 16:00:00	www.reuters.com	AkamTechInc	GeneMotoCo	1|2	4a3401b10b66663a92bf2cf5d7194ba46d5039f05d313ac3d4cef46f4d62decd_20181026160000_www.reuters.com_AkamTechInc_GeneMotoCo_1|2	276	44	0.0	5731.0	5	2	0	2.861465967603044e-06	0	** Please Note - All times given are in U.S. EDT unless otherwise stated ** U.S. EARNINGS Start Date Start Time RIC Company Event Name 29-Oct-2018 16:05 MDLZ.O Mondelez International Inc Q3 2018 Mondelez International Inc Earnings Release 29-Oct-2018 AMC AKAM.O {Akamai} Q3 2018	True	Akamai Technologies Inc|General Motors Co	0	Akamai	GM	** Please Note - All times given are in U.S. EDT unless otherwise stated ** U.S. EARNINGS Start Date Start Time RIC Company Event Name 29-Oct-2018 16:05 MDLZ.O Mondelez International Inc Q3 2018 Mondelez International Inc Earnings Release 29-Oct-2018 AMC AKAM.O Akamai Q3 2018
9dab9253e2cea5262f91e2917579b4551f225ef9c92908a2cf76655d0b454578_20211221175130_www.reuters.com_AlibGrouHoldLtd_KLACorp	3	3	NA	Alibaba Group Holding Ltd	KLA Corp	1	9dab9253e2cea5262f91e2917579b4551f225ef9c92908a2cf76655d0b454578	2021-12-21 17:51:30	www.reuters.com	AlibGrouHoldLtd	KLACorp	3|3	9dab9253e2cea5262f91e2917579b4551f225ef9c92908a2cf76655d0b454578_20211221175130_www.reuters.com_AlibGrouHoldLtd_KLACorp_3|3	2129	352	0.0	2.0	1	9	0	9.649584407265335e-07	0	** Micron : up 9.6% Register now for FREE unlimited access to Reuters.com Register BUZZ-JPM, Credit Suisse raises Micron's PT after chipmaker's quarterly update ** NIKE Inc : up 6.9% BUZZ-Nike soars after co beats Q2 revenue, profit estimates ** Acadia Pharmaceuticals Inc : down 19.7% BUZZ-Analysts skeptical about FDA nod for Acadia's Alzheimer's drug ** Society Pass Incorporated : down 6.9% BUZZ-Society Pass ending 2021 with meme-like rally as retail interest surges ** Aridis Pharmaceuticals Inc : up 25.2% BUZZ-Aridis Pharma soars on promising data from anti-viral drug ** Vir Biotechnology Inc : down 15.3% BUZZ-Vir Biotechnology slips as Baird lowers to 'underperform' on Omicron challenges ** {Alibaba} : up 6.1% BUZZ-Atlantic Equities downgrades {Alibaba} to 'neutral', cuts PT ** Aquestive Therapeutics Inc : down 33.5% BUZZ-Aquestive slumps on delay in U.S. review of anti-seizure drug ** Aldeyra Therapeutics Inc : down 51.0% BUZZ-Aldeyra drops on eye drug study setback, analysts see launch delay ** Penumbra Inc : up 3.2% BUZZ-Penumbra an attractive entry point, says JPM citing revenue potential ** Nikola Corporation : up 2.3% BUZZ-Nikola to pay $125 mln to settle SEC charges; shares up premarket ** Rite Aid Corporation : up 17.0% BUZZ-Rite Aid rises on upbeat core earnings forecast, store closure plan ** Embraer SA : up 16.9% BUZZ-Planemaker Embraer's U.S. shares soar as subsidiary Eve to list on NYSE ** CytomX Therapeutics Inc : down 41.5% BUZZ-CytomX drops as analysts cut PTs on mixed cancer drug data ** Fisker : up 1.8% BUZZ-Fisker up on expanding deal with tire-maker Bridgestone ** Tesla : up 0.7% BUZZ-Tesla perks up after losing all gains since Hertz EV deal ** Chevronoration : up 1.8% ** Exxon Mobiloration : up 2.2% ** Devon Energy Corporation : up 6.8% ** APA Corporation : up 5.1% ** Occidental Petroleum Corporation : up 4.8% ** Ovintiv Inc : up 2.9% ** Laredo Petroleum Inc : up 8.7% ** Baker Hughesmpany : up 3.5% ** Schlumberger N.V. : up 3.9% ** Halliburtonmpany : up 3.8% ** Patterson-UTI Energy Inc : up 9.8% BUZZ-Energy firms climb tracking crude prices even as Omicron worries linger *	True	Alibaba Group Holding Ltd|KLA Corp	0	Alibaba	KLA	** Micron : up 9.6% Register now for FREE unlimited access to Reuters.com Register BUZZ-JPM, Credit Suisse raises Micron's PT after chipmaker's quarterly update ** NIKE Inc : up 6.9% BUZZ-Nike soars after co beats Q2 revenue, profit estimates ** Acadia Pharmaceuticals Inc : down 19.7% BUZZ-Analysts skeptical about FDA nod for Acadia's Alzheimer's drug ** Society Pass Incorporated : down 6.9% BUZZ-Society Pass ending 2021 with meme-like rally as retail interest surges ** Aridis Pharmaceuticals Inc : up 25.2% BUZZ-Aridis Pharma soars on promising data from anti-viral drug ** Vir Biotechnology Inc : down 15.3% BUZZ-Vir Biotechnology slips as Baird lowers to 'underperform' on Omicron challenges ** Alibaba : up 6.1% BUZZ-Atlantic Equities downgrades Alibaba to 'neutral', cuts PT ** Aquestive Therapeutics Inc : down 33.5% BUZZ-Aquestive slumps on delay in U.S. review of anti-seizure drug ** Aldeyra Therapeutics Inc : down 51.0% BUZZ-Aldeyra drops on eye drug study setback, analysts see launch delay ** Penumbra Inc : up 3.2% BUZZ-Penumbra an attractive entry point, says JPM citing revenue potential ** Nikola Corporation : up 2.3% BUZZ-Nikola to pay $125 mln to settle SEC charges; shares up premarket ** Rite Aid Corporation : up 17.0% BUZZ-Rite Aid rises on upbeat core earnings forecast, store closure plan ** Embraer SA : up 16.9% BUZZ-Planemaker Embraer's U.S. shares soar as subsidiary Eve to list on NYSE ** CytomX Therapeutics Inc : down 41.5% BUZZ-CytomX drops as analysts cut PTs on mixed cancer drug data ** Fisker : up 1.8% BUZZ-Fisker up on expanding deal with tire-maker Bridgestone ** Tesla : up 0.7% BUZZ-Tesla perks up after losing all gains since Hertz EV deal ** Chevronoration : up 1.8% ** Exxon Mobiloration : up 2.2% ** Devon Energy Corporation : up 6.8% ** APA Corporation : up 5.1% ** Occidental Petroleum Corporation : up 4.8% ** Ovintiv Inc : up 2.9% ** Laredo Petroleum Inc : up 8.7% ** Baker Hughesmpany : up 3.5% ** Schlumberger N.V. : up 3.9% ** Halliburtonmpany : up 3.8% ** Patterson-UTI Energy Inc : up 9.8% BUZZ-Energy firms climb tracking crude prices even as Omicron worries linger *
0fd24aab6e6eca2d37ef70f0c19eb5ad918944fe820c1af4b52605b25d8aadc5_20170927155248_www.reuters.com_AlstSA_BombInc	13	14	Supplier	Alstom SA	Bombardier Inc	2	0fd24aab6e6eca2d37ef70f0c19eb5ad918944fe820c1af4b52605b25d8aadc5	2017-09-27 15:52:48	www.reuters.com	AlstSA	BombInc	13|14	0fd24aab6e6eca2d37ef70f0c19eb5ad918944fe820c1af4b52605b25d8aadc5_20170927155248_www.reuters.com_AlstSA_BombInc_13|14	384	64	0.551233334784	438.0	3	3	1	0.9999878440761266	1	"“Politicians will also likely try to ensure some form of jobs protection in France and Germany , making cost synergies difficult to extract,"" they wrote in a note. The deal leaves out in the cold Canadian transportation group [Bombardier], which also held talks with Siemens, sources have said, and which faces a separate battle this week to protect jobs in Quebec and Northern Ireland."	True	Alstom SA|Bombardier Inc	0	Alstom	Bombardier	"“Politicians will also likely try to ensure some form of jobs protection in France and Germany , making cost synergies difficult to extract,"" they wrote in a note. The deal leaves out in the cold Canadian transportation group Bombardier, which also held talks with Siemens, sources have said, and which faces a separate battle this week to protect jobs in Quebec and Northern Ireland."
2c5fdfc96272c7394a0a9bf28cb6b7c8d09bf34c3789d0e8977600a682c3eede_20150605171100_uk.reuters.com_AlteCorp_XiliInc	4	4	NA	Altera Corp	Xilinx Inc	1	2c5fdfc96272c7394a0a9bf28cb6b7c8d09bf34c3789d0e8977600a682c3eede	2015-06-05 17:11:00	uk.reuters.com	AlteCorp	XiliInc	4|4	2c5fdfc96272c7394a0a9bf28cb6b7c8d09bf34c3789d0e8977600a682c3eede_20150605171100_uk.reuters.com_AlteCorp_XiliInc_4|4	154	23	0.0	69.0	32	3	0	0.3032651365564934	0	""" will likely become x86 centric and neglect the large and growing ARM-based applications,"" said [Xilinx]'s senior vice president of strategy, Steve Glaser."	True	Altera Corp|Xilinx Inc	0	Altera	Xilinx	""" will likely become x86 centric and neglect the large and growing ARM-based applications,"" said Xilinx's senior vice president of strategy, Steve Glaser."
